divipola,municipio,departamento,mmi_max,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,desliz_max,desliz_media,desliz_km2,desliz_frac,licuef_max,licuef_media,licuef_km2,licuef_frac,pob_rural_desliz,pob_licuef
05604,REMEDIOS,ANTIOQUIA,5.199999809265137,447.928466796875,33548.0,14710.0,18838.0,40.232269287109375,0.0007,0.00043128596783735816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05607,RETIRO,ANTIOQUIA,6.0,605.0925903320312,27622.0,15260.0,12362.0,23.124109268188477,0.0033,0.0006421237384817902,0.0,0.0,0.0688,0.0005829675153643547,0.0,0.0,0.0,0.0
05615,RIONEGRO,ANTIOQUIA,6.0,400.0079956054687,156303.0,98864.0,57439.0,16.546525955200195,0.0009,0.00038346007604562733,0.0,0.0,0.2805,0.03515867678958785,2.982721602018241,0.015184381778741865,0.0,2373.0
05628,SABANALARGA,ANTIOQUIA,4.900000095367432,832.6049194335938,9963.0,3578.0,6385.0,66.70781707763672,0.0031,0.0006457410732096548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05631,SABANETA,ANTIOQUIA,5.900000095367432,713.375,109260.0,94532.0,14728.0,12.97178554534912,0.0012,0.0006602040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05642,SALGAR,ANTIOQUIA,6.0,776.5916748046875,18910.0,7570.0,11340.0,61.00131607055664,0.0111,0.0010189957541074394,0.0,0.0,0.0014,1.033210332103321e-06,0.0,0.0,0.0,0.0
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,5.199999809265137,769.9437866210938,7380.0,3162.0,4218.0,55.57244110107422,0.0012,0.0005672489082969431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05649,SAN CARLOS,ANTIOQUIA,5.5,615.158203125,16961.0,7985.0,8976.0,30.82410430908203,0.0024,0.0005800415183867141,0.0,0.0,0.0015,8.323424494649227e-07,0.0,0.0,0.0,0.0
05652,SAN FRANCISCO,ANTIOQUIA,5.800000190734863,677.934326171875,6089.0,2820.0,3269.0,35.8085823059082,0.0027,0.0007071449792038028,0.0,0.0,0.0149,0.00015255344418052256,0.0,0.0,0.0,0.0
05656,SAN JERÓNIMO,ANTIOQUIA,5.400000095367432,808.8536987304688,18757.0,8640.0,10117.0,41.70760345458984,0.0029,0.0006733597098582261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,5.400000095367432,567.9567260742188,4070.0,2643.0,1427.0,41.39004135131836,0.0007,0.000537910699241786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05660,SAN LUIS,ANTIOQUIA,5.599999904632568,655.3470458984375,14593.0,8836.0,5757.0,36.18172073364258,0.0039,0.0006325950345111775,0.0,0.0,0.0213,0.00010703414232825997,0.0,0.0,0.0,0.0
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,5.699999809265137,480.15667724609375,22252.0,12692.0,9560.0,27.004379272460938,0.0009,0.0005342320654790562,0.0,0.0,0.0053,4.1040462427745666e-05,0.0,0.0,0.0,0.0
05667,SAN RAFAEL,ANTIOQUIA,5.5,646.6773681640625,17572.0,9133.0,8439.0,45.68516540527344,0.001,0.0005833503575076608,0.0,0.0,0.0816,4.755244755244756e-05,0.0,0.0,0.0,0.0
05670,SAN ROQUE,ANTIOQUIA,5.300000190734863,543.5419311523438,24855.0,8391.0,16464.0,57.082725524902344,0.001,0.000555711072231942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05674,SAN VICENTE FERRER,ANTIOQUIA,5.599999904632568,446.0658264160156,24984.0,7188.0,17796.0,38.20301818847656,0.0009,0.0005090867158671586,0.0,0.0,0.0394,0.0004991735537190083,0.0,0.0,0.0,0.0
